make -s _run6z _mainNo=6z \
    _ss=0  _nn=10  _mm=10  _pp=1  _rr=3 \
    _tt=0  _uu=1  _vv=1  _xx=1
Executing sort/TestSort with args: 0 2000 500  20 3 0 1 1  1
=== Experiment 1 ===


   n     |  BestTime ||  Insert   Bubble    Select   Quick    Heap     Merge    Hybrid


 ======= | ========= || ===============================================================


  2000   |   445.503  ||    26.270    29.810    29.210    5.011    42.878    5.859    1.000


  2000   |   144.138  ||    58.620    38.487    36.187    2.759    63.062    7.705    1.000


  2500   |   120.486  ||    11.494    47.501    46.875    2.654    78.330    10.137    1.000


  3000   |   129.560  ||    11.464    42.856    43.993    2.241    73.140    10.455    1.000


  3500   |   119.445  ||    11.687    43.080    35.624    2.380    80.797    11.462    1.000


  4000   |   117.661  ||    12.059    43.626    36.111    2.407    81.852    6.559    1.000


  4500   |   122.718  ||    12.018    42.610    34.970    2.325    80.263    6.684    1.000


  5000   |   155.740  ||    9.104    33.417    27.543    1.820    62.993    5.461    1.000


  5500   |   144.881  ||    9.828    35.776    29.642    1.939    67.996    6.982    1.000


  6000   |   148.303  ||    9.646    35.016    29.280    1.925    66.911    4.594    1.000


  6500   |   144.435  ||    9.804    35.471    29.378    1.940    68.379    10.422    1.000


  7000   |   142.799  ||    9.839    35.865    29.681    1.957    68.900    4.810    1.000


  7500   |   142.799  ||    10.054    35.874    29.599    1.943    69.409    4.867    1.000


  8000   |   143.840  ||    9.787    35.550    29.459    1.975    68.522    4.912    1.000


  8500   |   144.733  ||    9.738    35.700    29.300    1.935    69.115    4.954    1.000


  9000   |   144.138  ||    9.992    35.584    29.657    1.933    69.400    5.135    1.000


  9500   |   143.989  ||    9.826    35.596    29.842    1.914    69.082    5.249    1.000


 10000   |   145.923  ||    9.676    35.476    29.346    1.939    69.146    5.399    1.000


 10500   |   144.881  ||    9.812    35.806    29.715    1.912    70.611    5.360    1.000


 11000   |   154.104  ||    9.119    33.420    27.542    1.792    65.174    5.069    1.000


