make -s _run6t _mainNo=6t \
		_ss=0  _nn=1000  _mm=50  _pp=10  _rr=3 \
		_tt=0  _uu=1  _vv=1  _xx=1
Executing sort/TestSort with args: 0 2000 500  20 3 0 1 1  2
=== Experiment 2 ===


   n     |  Count  ||  Insert   Bubble    Select   Quick    Heap     Merge    Hybrid


 ======= | ======= || ===============================================================


  2000   |   2216  ||  150.000    300.000    300.000    2.000    4.000    5.000    1.000


  2000   |   2248  ||  149.000    296.000    296.000    2.000    4.000    6.000    1.000


  2500   |   2205  ||  149.000    302.000    302.000    2.000    3.000    6.000    1.000


  3000   |   2217  ||  152.000    300.000    300.000    2.000    3.000    7.000    1.000


  3500   |   2245  ||  152.000    296.000    296.000    2.000    3.000    7.000    1.000


  4000   |   2253  ||  149.000    295.000    295.000    2.000    4.000    7.000    1.000


  4500   |   2228  ||  154.000    299.000    299.000    2.000    3.000    8.000    1.000


  5000   |   2229  ||  152.000    298.000    298.000    2.000    3.000    8.000    1.000


  5500   |   2241  ||  151.000    297.000    297.000    2.000    3.000    8.000    1.000


  6000   |   2246  ||  149.000    296.000    296.000    2.000    3.000    8.000    1.000


  6500   |   2242  ||  147.000    297.000    297.000    2.000    4.000    8.000    1.000


  7000   |   2257  ||  144.000    295.000    295.000    2.000    4.000    9.000    1.000


  7500   |   2207  ||  154.000    301.000    301.000    2.000    4.000    9.000    1.000


  8000   |   2234  ||  150.000    298.000    298.000    2.000    3.000    9.000    1.000


  8500   |   2233  ||  149.000    298.000    298.000    2.000    3.000    9.000    1.000


  9000   |   2254  ||  149.000    295.000    295.000    2.000    3.000    9.000    1.000


  9500   |   2230  ||  149.000    298.000    298.000    2.000    3.000    10.000    1.000


 10000   |   2274  ||  146.000    293.000    293.000    2.000    4.000    10.000    1.000


 10500   |   2183  ||  153.000    305.000    305.000    2.000    4.000    10.000    1.000


 11000   |   2274  ||  142.000    293.000    293.000    2.000    3.000    10.000    1.000



From both experiment it looks as the hybrid method is the fastest one in all cases. It has 
the best time and the best count. 
